299.682, 129.792, 5.942,  6.161 False
299.484, 129.803, 5.976,  6.194 False
299.284, 129.815, 6.009,  6.227 False
299.084, 129.826, 6.042,  6.260 False
298.882, 129.837, 6.075,  6.293 False
298.679, 129.849, 6.109,  6.326 False
298.475, 129.861, 6.142,  6.359 False
298.270, 129.873, 6.175,  6.392 False
298.063, 129.885, 6.207,  6.425 False
297.856, 129.898, 6.239,  6.458 False
297.648, 129.910, 6.270,  6.491 False
297.438, 129.922, 6.303,  6.524 False
297.228, 129.935, 6.334,  6.557 False
297.017, 129.947, 6.366,  6.590 False
296.804, 129.960, 6.397,  6.623 False
296.590, 129.972, 6.430,  6.656 False
296.376, 129.985, 6.461,  6.689 False
296.160, 129.998, 6.493,  6.722 False
295.943, 130.011, 6.524,  6.755 False
295.725, 130.024, 6.555,  6.788 False
295.507, 130.037, 6.586,  6.821 False
295.287, 130.050, 6.617,  6.854 False
295.066, 130.063, 6.648,  6.887 False
294.844, 130.076, 6.679,  6.920 False
294.621, 130.090, 6.709,  6.953 False
294.397, 130.103, 6.739,  6.986 False
294.172, 130.117, 6.768,  7.019 False
293.946, 130.131, 6.798,  7.052 False
293.720, 130.144, 6.827,  7.085 False
293.492, 130.158, 6.857,  7.118 False
293.263, 130.172, 6.886,  7.151 False
293.033, 130.186, 6.916,  7.184 False
292.802, 130.200, 6.945,  7.217 False
292.571, 130.214, 6.975,  7.250 False
292.338, 130.228, 7.004,  7.283 False
292.104, 130.242, 7.034,  7.316 False
291.869, 130.256, 7.063,  7.349 False
291.634, 130.270, 7.093,  7.382 False
291.397, 130.284, 7.121,  7.415 False
291.160, 130.300, 7.150,  7.448 False
290.921, 130.315, 7.180,  7.481 False
290.681, 130.330, 7.210,  7.514 False
290.441, 130.345, 7.239,  7.547 False
290.199, 130.360, 7.269,  7.580 False
289.957, 130.375, 7.298,  7.613 False
289.713, 130.390, 7.328,  7.646 False
289.469, 130.405, 7.357,  7.679 False
289.223, 130.420, 7.387,  7.712 False
288.977, 130.435, 7.415,  7.745 False
288.729, 130.450, 7.445,  7.778 False
288.481, 130.465, 7.473,  7.811 False
288.231, 130.480, 7.503,  7.844 False
287.981, 130.495, 7.531,  7.877 False
287.730, 130.510, 7.561,  7.910 False
287.478, 130.525, 7.589,  7.943 False
287.224, 130.540, 7.618,  7.976 False
286.970, 130.555, 7.647,  8.009 False
286.715, 130.570, 7.676,  8.042 False
286.459, 130.585, 7.705,  8.075 False
286.202, 130.600, 7.735,  8.108 False
285.943, 130.615, 7.764,  8.141 False
285.684, 130.629, 7.794,  8.174 False
285.424, 130.644, 7.823,  8.207 False
285.163, 130.659, 7.853,  8.240 False
284.901, 130.674, 7.881,  8.273 False
284.638, 130.688, 7.911,  8.306 False
284.374, 130.701, 7.940,  8.339 False
284.109, 130.715, 7.970,  8.372 False
283.843, 130.727, 7.999,  8.405 False
283.576, 130.740, 8.029,  8.438 False
283.308, 130.753, 8.058,  8.471 False
283.038, 130.764, 8.088,  8.504 False
282.768, 130.773, 8.116,  8.537 False
282.497, 130.781, 8.146,  8.570 False
282.225, 130.789, 8.176,  8.603 False
281.952, 130.796, 8.205,  8.636 False
281.678, 130.802, 8.232,  8.669 False
281.403, 130.809, 8.256,  8.702 False
281.127, 130.816, 8.276,  8.735 False
280.851, 130.822, 8.291,  8.768 False
280.575, 130.828, 8.302,  8.801 False
280.298, 130.834, 8.310,  8.834 False
280.021, 130.839, 8.316,  8.867 False
279.744, 130.844, 8.322,  8.900 False
279.467, 130.848, 8.326,  8.933 False
279.189, 130.853, 8.330,  8.966 False
278.912, 130.856, 8.332,  8.999 False
278.634, 130.860, 8.335,  9.032 False
278.356, 130.863, 8.337,  9.065 False
278.078, 130.866, 8.339,  9.098 False
277.801, 130.869, 8.341,  9.131 False
277.523, 130.872, 8.342,  9.164 False
277.245, 130.874, 8.343,  9.197 False
276.967, 130.876, 8.345,  9.230 False
276.688, 130.877, 8.345,  9.263 False
276.410, 130.877, 8.346,  9.296 False
276.132, 130.878, 8.347,  9.329 False
275.854, 130.877, 8.348,  9.362 False
275.576, 130.876, 8.348,  9.395 False
275.298, 130.876, 8.349,  9.428 False
275.019, 130.875, 8.350,  9.461 False
274.741, 130.874, 8.350,  9.494 False
274.463, 130.873, 8.350,  9.527 False
274.184, 130.871, 8.350,  9.560 False
273.906, 130.869, 8.351,  9.593 False
273.628, 130.867, 8.351,  9.626 False
273.349, 130.865, 8.351,  9.659 False
273.071, 130.862, 8.351,  9.692 False
272.793, 130.859, 8.351,  9.725 False
272.514, 130.856, 8.351,  9.758 False
272.236, 130.853, 8.351,  9.791 False
271.958, 130.849, 8.351,  9.824 False
271.679, 130.845, 8.351,  9.857 False
271.401, 130.841, 8.350,  9.890 False
271.123, 130.837, 8.350,  9.923 False
270.845, 130.832, 8.350,  9.956 False
270.566, 130.828, 8.350,  9.989 False
270.288, 130.823, 8.350, 10.022 False
270.010, 130.818, 8.350, 10.055 False
269.731, 130.813, 8.349, 10.088 False
269.453, 130.808, 8.349, 10.121 False
269.175, 130.802, 8.349, 10.154 False
268.897, 130.797, 8.349, 10.187 False
268.618, 130.791, 8.348, 10.220 False
268.340, 130.785, 8.348, 10.253 False
268.062, 130.779, 8.348, 10.286 False
267.784, 130.773, 8.348, 10.319 False
267.506, 130.766, 8.347, 10.352 False
267.228, 130.760, 8.347, 10.385 False
266.949, 130.753, 8.347, 10.418 False
266.671, 130.746, 8.347, 10.451 False
266.393, 130.739, 8.346, 10.484 False
266.115, 130.732, 8.346, 10.517 False
265.837, 130.725, 8.346, 10.550 False
